x	y	tot_dep-mol~ha~y
124610	547037	96.942
124780	586281	60.906
124941	636817	-2.802
124944	495137	133.185
125399	417701	226.552
125541	418173	223.951
125785	550605	91.761
125930	555387	85.524
125930	560387	82.979
125930	565387	81.632
125930	570387	81.857
125930	575387	76.359
125930	580387	69.906
125930	590387	57.945
125930	640387	-3.52
125930	645387	-9.921
125930	650387	-15.387
125930	655387	-20.815
125930	660387	-26.892
125930	665387	-31.227
125930	670387	-36.126
125930	675387	81.309
126247	441689	190.976
126341	594874	54.438
126347	586074	103.981
126630	584440	68.612
126679	679283	80.208
127223	410700	245.497
127543	487185	148.879
127600	440368	187.911
127747	505477	126.837
128119	429678	218.789
128161	440488	174.558
128186	443022	184.303
128281	438333	181.309
128531	441406	195.093
128621	425725	261.487
129127	639477	1.801
129161	589560	68.775
129413	425512	212.527
129579	389600	467.486
129761	411032	227.861
129902	550103	101.119
130088	588699	140.538
130114	429884	188.644
130170	410271	233.425
130182	506965	131.48
130210	391340	326.729
130255	642896	1.482
130256	552898	91.122
130258	592891	59.875
130260	557887	84.562
130260	562887	83.343
130260	567887	80.59
130260	572887	77.414
130260	577887	73.604
130260	582887	69.219
130260	647887	-5.045
130260	652887	-10.968
130260	657887	-16.346
130260	662887	-21.75
130260	667887	-26.366
130260	672887	-30.898
130260	677887	81.041
130415	419476	251.065
130480	597576	54.462
130616	424659	218.573
130678	586877	65.376
130887	681959	79.917
130994	488005	130.109
131095	504567	124.652
131238	471126	172.043
131280	516081	150.813
131356	513040	117.53
131467	484115	132.933
131557	463966	163.481
131623	590453	80.252
131669	600452	51.702
131738	490952	132.264
131763	471601	172.043
131814	467030	171.255
131816	469121	160.489
131915	508693	140.45
132023	494768	137.634
132116	476158	157.532
132168	431438	222.742
132283	496611	141.621
132332	497578	141.598
132430	407169	294.683
132485	504785	125.599
132637	548330	110.414
132660	425165	197.81
133228	590257	187.293
133300	551784	94.794
133335	591997	69.76
133374	642198	-0.381
133604	495685	126.664
133661	590285	187.687
133777	465204	193.02
133803	431091	256.203
134192	475358	192.514
134353	470566	178.572
134531	595465	59.169
134549	485782	132.136
134555	645444	-8.509
134564	555425	86.764
134567	514838	115.066
134590	510387	115.787
134590	560387	83.133
134590	565387	81.985
134590	570387	78.692
134590	575387	75.343
134590	580387	71.759
134590	585387	67.97
134590	650387	-14.719
134590	655387	-20.312
134590	660387	-25.759
134590	665387	-30.478
134590	670387	-34.907
134590	675387	82.271
134590	680387	80.805
134630	462370	194.079
134633	490327	127.168
134715	406259	379.844
134753	600111	54.071
134828	462497	194.036
134862	505538	120.202
134909	550051	90.765
135051	483704	141.392
135089	408741	342.63
135101	684635	79.622
135137	500122	121.532
135181	386275	447.961
135189	590075	96.599
135267	545729	94.925
135315	387917	458.98
135390	495274	131.609
135411	465503	153.61
135603	472499	188.652
135690	479166	172.634
135962	477120	156.621
135969	482738	147.554
135987	602952	52.869
136033	553190	93.401
136040	474958	171.195
136045	593466	63.075
136239	462839	173.683
136346	434545	199.984
136401	541198	104.049
136597	535149	114.496
136660	432666	259.717
136774	482758	198.464
136819	467963	163.431
136960	530896	165.561
137188	464254	155.291
137194	466456	147.076
137266	477906	197.001
137433	483556	148.919
137472	595133	61.299
137478	554937	94.965
137628	644926	4.722
137630	488697	146.344
137777	436847	201.045
138092	378968	386.123
138183	476898	223.698
138489	598247	58.439
138519	395379	372.52
138658	558166	86.622
138701	403836	264.832
138704	407161	286.202
138829	648025	-2.912
138914	492898	125.207
138920	502887	117.877
138920	507887	114.743
138920	542887	97.192
138920	547887	92.97
138920	562887	83.582
138920	567887	82.216
138920	572887	79.009
138920	577887	75.567
138920	582887	71.86
138920	587887	68.204
138920	652887	-9.434
138920	657887	-14.893
138920	662887	-20.331
138920	667887	-25.244
138920	672887	-30.076
138920	677887	82.036
138920	682887	80.598
138931	592870	64.84
138947	512788	113.986
138952	537886	101.521
138955	532903	106.189
138971	552818	90.161
138975	497917	122.367
139087	602560	56.446
139319	687311	79.443
139375	529203	109.958
139610	382224	532.288
139611	396442	409.119
139818	596255	69.521
140240	515755	123.807
140286	556432	91.346
140331	480398	139.065
140400	479605	160.208
140458	390426	265.384
140490	410654	233.953
140503	390674	264.473
140732	388367	297.35
141046	597808	128.277
141554	402199	272.133
141883	647655	1.472
141908	408215	296.713
141968	406661	257.7
142172	492198	127.054
142261	597301	129.917
142589	480386	158.64
142598	601484	58.728
142651	650571	-6.003
142705	561044	88.287
142722	381788	350.003
142770	655394	-12.181
142800	660394	-17.796
142831	491155	171.355
142831	665394	-22.929
142861	670394	-27.888
142891	675393	83.259
142920	680392	81.836
142948	685391	80.41
143008	396804	321.212
143221	531043	106.159
143224	689923	79.16
143241	495404	123.344
143250	500387	118.799
143250	505387	114.974
143250	510387	112.905
143250	535387	102.545
143250	540387	98.619
143250	545387	95.73
143250	550387	93.466
143250	555387	91.697
143250	565387	86.549
143250	570387	82.523
143250	575387	80.533
143250	580387	76.655
143250	585387	72.879
143250	590387	69.406
143319	595085	71.124
143349	515229	113.935
143488	604903	59.345
143686	599806	173.594
143799	410597	231.646
143842	599001	174.284
143981	398794	356.832
144230	559284	91.783
144376	383964	321.738
144559	376781	339.262
144708	672887	-27.864
144748	677889	82.733
144789	682890	81.317
144829	687892	79.976
144869	692795	78.509
145016	399016	344.048
145162	519592	116.203
145359	396588	298.303
145510	425789	242.655
145594	598994	140.999
146048	386785	325.394
146255	599928	124.243
146359	494707	133.408
146492	410863	230.282
146541	395200	321.985
146733	563922	92.763
146786	397789	239.915
147022	383075	319.725
147413	603568	65.9
147537	497955	122.676
147558	426175	211.489
147581	502887	118.28
147581	507887	114.764
147581	512887	112.56
147581	517887	111.63
147581	532887	104.283
147581	537887	101.138
147581	542887	99.72
147581	547887	97.891
147581	552887	96.453
147581	557887	95.374
147581	567887	90.676
147581	572887	86.784
147581	577887	81.833
147581	582887	78.986
147581	587887	74.758
147581	592887	71.541
147651	379380	320.275
147741	521423	112.921
147754	597075	79.166
147844	601391	122.617
147852	396164	302.979
147862	607502	60.602
148066	409776	256.969
148182	562148	95.788
148295	424642	218.104
148489	528408	110.244
148521	493656	149.623
148923	495770	132.158
148968	424681	218.4
149007	610474	58.038
149212	601158	172.196
149500	409952	223.562
149536	477876	150.596
149802	523028	112.229
150464	382976	441.601
150479	382678	442.902
150508	602873	128.108
150575	497479	130.883
150689	478559	190.366
150812	425734	219.596
151330	601841	153.678
151362	566568	100.875
151549	519793	109.934
151563	563782	101.04
151594	545552	105.007
151605	602125	158.751
151623	476717	153.956
151744	492305	189.899
151780	500571	122.572
151838	560387	101.56
151876	605494	69.681
151910	540385	104.432
151911	505387	118.309
151911	510387	115.036
151911	515387	112.244
151911	530387	105.712
151911	535387	103.794
151911	550387	102.952
151911	555387	102.295
151911	570387	97.047
151911	575387	91.734
151911	580387	86.051
151911	585387	81.636
151911	590387	76.864
151911	595387	75.028
151960	495310	140.231
151965	525400	107.927
152047	610036	60.893
152101	602954	178.694
152222	366396	341.906
152554	599163	91.634
152658	603149	96.295
152691	424621	225.218
152736	521744	111.919
152962	441950	214.292
152988	368540	310.806
153087	443043	183.741
153170	498576	155.036
153325	375133	339.309
153411	565193	111.092
153885	444359	209.402
154178	557260	108.578
154401	560379	108.446
154495	424793	206.893
154507	568906	124.069
154545	566314	121.868
154556	562232	136.778
154899	541356	113.398
154931	493966	158.843
154966	552789	108.525
155069	500317	134.394
155079	562641	156.996
155105	548138	114.629
155140	517073	113.975
155278	573004	104.388
155364	558145	112.304
155428	497778	150.672
155690	604785	84.224
155694	578136	97.359
155793	428246	243.829
155836	603311	126.168
155850	503148	123.932
155873	500451	134.747
155939	427935	215.33
156055	442717	197.058
156165	507916	120.691
156182	512848	116.362
156237	537878	107.982
156241	522887	109.962
156241	527887	107.643
156241	532887	106.278
156241	582887	93.792
156241	587887	86.154
156241	592887	78.961
156241	597887	77.266
156241	607887	68.317
156323	553219	126.695
156389	444613	183.662
156508	612130	60.814
156521	365843	442.392
156781	364653	483.896
156961	601870	76.053
156963	518451	112.809
157169	376662	320.694
157201	373026	433.478
