name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.	conc.
159	4829	395187	0.1440E+00	0.1221E+01	0.6172E+00	0.1839E+01	0.2478E-01	0.1286E-01
159	5252	391155	0.1450E+00	0.1222E+01	0.6145E+00	0.1836E+01	0.2560E-01	0.1400E-01
190	11196	802308	0.1592E-01	0.1689E+00	0.2780E+00	0.4469E+00	0.4444E-02	0.8889E-03
190	10446	797499	0.1627E-01	0.1741E+00	0.2805E+00	0.4546E+00	0.4565E-02	0.9129E-03
190	9753	792686	0.1642E-01	0.1763E+00	0.2820E+00	0.4583E+00	0.4621E-02	0.9243E-03
190	9181	787844	0.1657E-01	0.1786E+00	0.2840E+00	0.4626E+00	0.4686E-02	0.9373E-03
190	9017	782887	0.1687E-01	0.1817E+00	0.2870E+00	0.4687E+00	0.4756E-02	0.9511E-03
190	9017	777887	0.1710E-01	0.1847E+00	0.2880E+00	0.4727E+00	0.4824E-02	0.9647E-03
190	9017	772887	0.1744E-01	0.1887E+00	0.2912E+00	0.4798E+00	0.4902E-02	0.9804E-03
190	9017	767887	0.1774E-01	0.1928E+00	0.2933E+00	0.4860E+00	0.4992E-02	0.9984E-03
190	9017	762887	0.1807E-01	0.1969E+00	0.2970E+00	0.4939E+00	0.5086E-02	0.1017E-02
190	9017	757887	0.1841E-01	0.2018E+00	0.2996E+00	0.5014E+00	0.5193E-02	0.1039E-02
190	9017	752887	0.1861E-01	0.2053E+00	0.2995E+00	0.5048E+00	0.5272E-02	0.1054E-02
190	9017	747887	0.1895E-01	0.2100E+00	0.3026E+00	0.5125E+00	0.5381E-02	0.1076E-02
190	8836	743046	0.1932E-01	0.2147E+00	0.3062E+00	0.5209E+00	0.5491E-02	0.1098E-02
190	7490	739197	0.1944E-01	0.2169E+00	0.3051E+00	0.5221E+00	0.5544E-02	0.1109E-02
191	8982	701934	0.2272E-01	0.2623E+00	0.3348E+00	0.5970E+00	0.6656E-02	0.1331E-02
191	9017	697887	0.2308E-01	0.2674E+00	0.3382E+00	0.6057E+00	0.6781E-02	0.1356E-02
191	9017	692887	0.2358E-01	0.2745E+00	0.3424E+00	0.6169E+00	0.6955E-02	0.1391E-02
191	9017	687887	0.2401E-01	0.2812E+00	0.3452E+00	0.6263E+00	0.7115E-02	0.1423E-02
