name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.
159	9017	392887	0.3129E-04	-0.5241E-04	0.2633E-02	0.2581E-02	0.1998E-04
159	9439	388410	0.3130E-04	0.5505E-03	0.2669E-02	0.3220E-02	0.2230E-04
159	11165	383841	0.3210E-04	0.1447E-02	0.2949E-02	0.4396E-02	0.1775E-04
190	15953	820155	0.1783E-08	0.2569E-04	0.3253E-03	0.3510E-03	0.2234E-05
190	15028	814864	0.2006E-08	0.2642E-04	0.3351E-03	0.3616E-03	0.2285E-05
190	14334	810143	0.2236E-08	0.2725E-04	0.3446E-03	0.3719E-03	0.2335E-05
190	13690	805277	0.2670E-08	0.2667E-04	0.3567E-03	0.3833E-03	0.2174E-05
190	13347	800387	0.2963E-08	0.2739E-04	0.3670E-03	0.3944E-03	0.2215E-05
190	13347	795387	0.3498E-08	0.2814E-04	0.3798E-03	0.4080E-03	0.2266E-05
190	13347	790387	0.3919E-08	0.2841E-04	0.3840E-03	0.4124E-03	0.2308E-05
190	13347	785387	0.4436E-08	0.2922E-04	0.3928E-03	0.4220E-03	0.2352E-05
190	13347	780387	0.5049E-08	0.3003E-04	0.4048E-03	0.4348E-03	0.2389E-05
190	13347	775387	0.5650E-08	0.3091E-04	0.4179E-03	0.4488E-03	0.2437E-05
190	13347	770387	0.6909E-08	0.3189E-04	0.4316E-03	0.4635E-03	0.2485E-05
190	13347	765387	0.6712E-08	0.3292E-04	0.4313E-03	0.4642E-03	0.2483E-05
190	13347	760387	0.7741E-08	0.3399E-04	0.4451E-03	0.4791E-03	0.2540E-05
190	13347	755387	0.8631E-08	0.3440E-04	0.4512E-03	0.4856E-03	0.2569E-05
190	13347	750387	0.9741E-08	0.3554E-04	0.4664E-03	0.5020E-03	0.2630E-05
190	12671	746041	0.1125E-07	0.3653E-04	0.4812E-03	0.5177E-03	0.2690E-05
191	13175	702963	0.3633E-07	0.5842E-04	0.6386E-03	0.6970E-03	0.3510E-05
191	13347	700387	0.3815E-07	0.5925E-04	0.6361E-03	0.6953E-03	0.3528E-05
191	13347	695387	0.4463E-07	0.6331E-04	0.6598E-03	0.7232E-03	0.3681E-05
191	13347	690387	0.5032E-07	0.6765E-04	0.6832E-03	0.7508E-03	0.3838E-05
191	13347	685387	0.5701E-07	0.7281E-04	0.7086E-03	0.7814E-03	0.4016E-05
191	13347	680387	0.6645E-07	0.7780E-04	0.7360E-03	0.8138E-03	0.4198E-05
191	13347	675387	0.7454E-07	0.8161E-04	0.7471E-03	0.8287E-03	0.4318E-05
191	13347	670387	0.1242E-06	-0.8965E-04	0.7727E-03	0.6831E-03	0.4488E-05
191	13347	665387	0.1396E-06	-0.9930E-04	0.8055E-03	0.7061E-03	0.4717E-05
191	13347	660387	0.1577E-06	-0.1143E-03	0.8180E-03	0.7037E-03	0.4848E-05
191	13357	655652	0.1784E-06	-0.1268E-03	0.8485E-03	0.7217E-03	0.5057E-05
162	14230	404300	0.3780E-04	-0.2582E-03	0.3079E-02	0.2821E-02	0.2047E-04
162	13347	400387	0.3601E-04	0.1487E-03	0.2980E-02	0.3129E-02	0.2004E-04
159	13114	394093	0.3594E-04	0.9511E-03	0.2992E-02	0.3944E-02	0.2190E-04
162	13505	396267	0.3588E-04	0.5768E-03	0.2926E-02	0.3503E-02	0.1980E-04
159	13347	390387	0.3206E-04	0.1172E-02	0.3044E-02	0.4216E-02	0.2136E-04
159	13347	385387	0.3460E-04	0.1342E-02	0.3036E-02	0.4378E-02	0.1624E-04
159	13650	381070	0.3325E-04	0.1574E-02	0.3040E-02	0.4614E-02	0.1565E-04
169	15206	379836	0.3323E-04	0.1713E-02	0.3127E-02	0.4840E-02	0.1527E-04
188	14704	378110	0.3193E-04	0.1984E-02	0.3045E-02	0.5029E-02	0.1585E-04
169	14115	377876	0.3040E-04	0.4117E-02	0.3036E-02	0.7153E-02	0.1562E-04
187	14841	375339	0.2917E-04	0.5693E-02	0.3037E-02	0.8730E-02	0.1556E-04
188	14673	377099	0.3025E-04	0.4105E-02	0.3041E-02	0.7146E-02	0.1560E-04
190	19588	832293	0.1269E-08	0.2453E-04	0.3095E-03	0.3340E-03	0.2147E-05
190	18902	827592	0.1444E-08	0.2521E-04	0.3175E-03	0.3427E-03	0.2190E-05
190	18231	822719	0.1720E-08	0.2590E-04	0.3271E-03	0.3530E-03	0.2237E-05
190	17726	817881	0.1922E-08	0.2657E-04	0.3361E-03	0.3627E-03	0.2285E-05
190	17677	812887	0.2165E-08	0.2746E-04	0.3463E-03	0.3738E-03	0.2340E-05
190	17677	807887	0.2549E-08	0.2765E-04	0.3502E-03	0.3779E-03	0.2363E-05
190	17677	802887	0.3015E-08	0.2844E-04	0.3576E-03	0.3860E-03	0.2413E-05
