name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190            15953  820155  0.5939E-03  0.7392E-02  0.8986E-02  0.1638E-01  0.2132E-03  0.4264E-04
190            15028  814864  0.6043E-03  0.7565E-02  0.8986E-02  0.1655E-01  0.2182E-03  0.4363E-04
190            14334  810143  0.6143E-03  0.7667E-02  0.9028E-02  0.1670E-01  0.2202E-03  0.4403E-04
190            13690  805277  0.6610E-03  0.7931E-02  0.1043E-01  0.1836E-01  0.2131E-03  0.4262E-04
190            13347  800387  0.6729E-03  0.8116E-02  0.1042E-01  0.1854E-01  0.2182E-03  0.4364E-04
190            13347  795387  0.6875E-03  0.8247E-02  0.1056E-01  0.1880E-01  0.2213E-03  0.4426E-04
190            13347  790387  0.7025E-03  0.8466E-02  0.1059E-01  0.1905E-01  0.2273E-03  0.4546E-04
190            13347  785387  0.7160E-03  0.8664E-02  0.1054E-01  0.1920E-01  0.2325E-03  0.4649E-04
190            13347  780387  0.7298E-03  0.8772E-02  0.1061E-01  0.1938E-01  0.2346E-03  0.4692E-04
190            13347  775387  0.7457E-03  0.8994E-02  0.1060E-01  0.1959E-01  0.2404E-03  0.4808E-04
190            13347  770387  0.7611E-03  0.9219E-02  0.1055E-01  0.1977E-01  0.2460E-03  0.4921E-04
190            13347  765387  0.7780E-03  0.9389E-02  0.1066E-01  0.2005E-01  0.2496E-03  0.4992E-04
190            13347  760387  0.7955E-03  0.9651E-02  0.1064E-01  0.2029E-01  0.2566E-03  0.5132E-04
190            13347  755387  0.8030E-03  0.9384E-02  0.1006E-01  0.1944E-01  0.2496E-03  0.4991E-04
190            13347  750387  0.8205E-03  0.9614E-02  0.1002E-01  0.1963E-01  0.2554E-03  0.5109E-04
190            12671  746041  0.8332E-03  0.9760E-02  0.1007E-01  0.1983E-01  0.2590E-03  0.5179E-04
191            13175  702963  0.1026E-02  0.1364E-01  0.1001E-01  0.2366E-01  0.3513E-03  0.7025E-04
191            13347  700387  0.1049E-02  0.1397E-01  0.1012E-01  0.2409E-01  0.3592E-03  0.7185E-04
191            13347  695387  0.1083E-02  0.1442E-01  0.1026E-01  0.2468E-01  0.3695E-03  0.7389E-04
191            13347  690387  0.1118E-02  0.1490E-01  0.1040E-01  0.2530E-01  0.3807E-03  0.7614E-04
191            13347  685387  0.1155E-02  0.1542E-01  0.1056E-01  0.2598E-01  0.3924E-03  0.7848E-04
191            13347  680387  0.1194E-02  0.1595E-01  0.1073E-01  0.2668E-01  0.4047E-03  0.8094E-04
