name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190            22007  810387  0.3297E-01  0.3488E+00  0.5789E+00  0.9277E+00  0.9549E-02  0.1910E-02
190            22007  805387  0.3371E-01  0.3550E+00  0.5854E+00  0.9404E+00  0.9668E-02  0.1934E-02
190            22007  800387  0.3447E-01  0.3608E+00  0.5919E+00  0.9527E+00  0.9756E-02  0.1951E-02
190            22007  795387  0.3532E-01  0.3688E+00  0.6010E+00  0.9698E+00  0.9934E-02  0.1987E-02
190            22007  790387  0.3635E-01  0.3736E+00  0.6185E+00  0.9922E+00  0.1009E-01  0.2017E-02
190            22007  785387  0.3721E-01  0.3828E+00  0.6253E+00  0.1008E+01  0.1028E-01  0.2056E-02
190            22007  780387  0.3822E-01  0.3970E+00  0.6300E+00  0.1027E+01  0.1063E-01  0.2126E-02
190            22007  775387  0.3910E-01  0.4049E+00  0.6388E+00  0.1044E+01  0.1084E-01  0.2168E-02
190            22007  770387  0.3997E-01  0.4130E+00  0.6477E+00  0.1061E+01  0.1106E-01  0.2212E-02
190            22007  765387  0.4076E-01  0.4185E+00  0.6532E+00  0.1072E+01  0.1115E-01  0.2230E-02
190            22007  760387  0.4157E-01  0.4264E+00  0.6600E+00  0.1086E+01  0.1134E-01  0.2269E-02
190            21473  755873  0.4234E-01  0.4343E+00  0.6664E+00  0.1101E+01  0.1155E-01  0.2310E-02
190            20530  752740  0.4268E-01  0.4382E+00  0.6674E+00  0.1106E+01  0.1165E-01  0.2331E-02
191            19809  700455  0.5547E-01  0.5767E+00  0.7478E+00  0.1324E+01  0.1472E-01  0.2944E-02
191            19696  695445  0.5704E-01  0.5942E+00  0.7564E+00  0.1351E+01  0.1509E-01  0.3019E-02
191            19583  690434  0.5849E-01  0.6123E+00  0.7633E+00  0.1376E+01  0.1551E-01  0.3102E-02
191            19470  685422  0.6013E-01  0.6309E+00  0.7716E+00  0.1403E+01  0.1589E-01  0.3178E-02
191            19357  680408  0.6195E-01  0.6512E+00  0.7820E+00  0.1433E+01  0.1631E-01  0.3261E-02
191            19271  675398  0.6352E-01  0.6690E+00  0.7873E+00  0.1456E+01  0.1669E-01  0.3338E-02
191            19186  670392  0.6570E-01  0.6215E+00  0.7968E+00  0.1418E+01  0.1715E-01  0.3430E-02
162            23263  414250  0.4454E+00  0.3284E+01  0.1554E+01  0.4838E+01  0.6879E-01  0.3687E-01
162            22028  410359  0.4368E+00  0.3227E+01  0.1527E+01  0.4754E+01  0.6825E-01  0.3761E-01
162            22007  405387  0.4425E+00  0.3245E+01  0.1563E+01  0.4808E+01  0.6896E-01  0.3973E-01
105            24197  399263  0.4968E+00  0.6596E+01  0.1686E+01  0.8282E+01  0.7320E-01  0.4675E-01
162            21932  400503  0.4480E+00  0.3262E+01  0.1595E+01  0.4857E+01  0.7001E-01  0.4205E-01
159            19436  394843  0.4471E+00  0.4205E+01  0.1579E+01  0.5784E+01  0.6981E-01  0.4614E-01
162            20554  397117  0.4416E+00  0.3439E+01  0.1606E+01  0.5045E+01  0.6997E-01  0.4272E-01
169            20291  393622  0.4511E+00  0.4735E+01  0.1617E+01  0.6352E+01  0.7000E-01  0.4397E-01
169            21713  390085  0.4579E+00  0.3271E+01  0.1707E+01  0.4979E+01  0.7151E-01  0.4593E-01
169            22007  385387  0.4728E+00  0.3343E+01  0.1812E+01  0.5155E+01  0.7255E-01  0.4726E-01
169            21503  381457  0.4722E+00  0.3339E+01  0.1848E+01  0.5187E+01  0.7316E-01  0.4843E-01
