name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190             4686  765387  0.3021E+01  0.4346E+02  0.7500E+02  0.1185E+03  0.1162E+01  0.2324E+00
190             4686  760387  0.3046E+01  0.4385E+02  0.7552E+02  0.1194E+03  0.1171E+01  0.2342E+00
190             4686  755387  0.3074E+01  0.4421E+02  0.7603E+02  0.1202E+03  0.1179E+01  0.2358E+00
190             4686  750387  0.3105E+01  0.4462E+02  0.7655E+02  0.1212E+03  0.1188E+01  0.2376E+00
190             4686  745387  0.3134E+01  0.4504E+02  0.7710E+02  0.1221E+03  0.1198E+01  0.2396E+00
190             4686  740387  0.3163E+01  0.4544E+02  0.7752E+02  0.1230E+03  0.1207E+01  0.2414E+00
190             3854  736202  0.3192E+01  0.4580E+02  0.7799E+02  0.1238E+03  0.1215E+01  0.2429E+00
191             4610  703102  0.3417E+01  0.4871E+02  0.8118E+02  0.1299E+03  0.1285E+01  0.2569E+00
191             4686  700387  0.3437E+01  0.4898E+02  0.8147E+02  0.1304E+03  0.1291E+01  0.2581E+00
191             4686  695387  0.3471E+01  0.4942E+02  0.8196E+02  0.1314E+03  0.1300E+01  0.2601E+00
191             4686  690387  0.3510E+01  0.4994E+02  0.8250E+02  0.1324E+03  0.1311E+01  0.2623E+00
191             4686  685387  0.3529E+01  0.5032E+02  0.8296E+02  0.1333E+03  0.1322E+01  0.2644E+00
191             4686  680387  0.3566E+01  0.5077E+02  0.8356E+02  0.1343E+03  0.1333E+01  0.2667E+00
191             4686  675387  0.3603E+01  0.5127E+02  0.8408E+02  0.1354E+03  0.1344E+01  0.2687E+00
191             4686  670387  0.3668E+01  0.4621E+02  0.8474E+02  0.1310E+03  0.1356E+01  0.2711E+00
191             4686  665387  0.3706E+01  0.4659E+02  0.8521E+02  0.1318E+03  0.1364E+01  0.2729E+00
191             4686  660387  0.3743E+01  0.4694E+02  0.8573E+02  0.1327E+03  0.1372E+01  0.2744E+00
191             4703  655817  0.3778E+01  0.4728E+02  0.8613E+02  0.1334E+03  0.1380E+01  0.2761E+00
159             6076  398315  0.7503E+01  0.7628E+02  0.9820E+02  0.1745E+03  0.2082E+01  0.1062E+01
159             4829  395187  0.7684E+01  0.7701E+02  0.9832E+02  0.1753E+03  0.2095E+01  0.1088E+01
159             5252  391155  0.7914E+01  0.7754E+02  0.9854E+02  0.1761E+03  0.2118E+01  0.1158E+01
190            11196  802308  0.2804E+01  0.4067E+02  0.7125E+02  0.1119E+03  0.1102E+01  0.2204E+00
190            10446  797499  0.2829E+01  0.4102E+02  0.7168E+02  0.1127E+03  0.1110E+01  0.2220E+00
190             9753  792686  0.2856E+01  0.4136E+02  0.7219E+02  0.1136E+03  0.1118E+01  0.2237E+00
190             9181  787844  0.2882E+01  0.4168E+02  0.7264E+02  0.1143E+03  0.1125E+01  0.2249E+00
190             9017  782887  0.2910E+01  0.4205E+02  0.7314E+02  0.1152E+03  0.1133E+01  0.2266E+00
190             9017  777887  0.2935E+01  0.4239E+02  0.7366E+02  0.1161E+03  0.1140E+01  0.2280E+00
190             9017  772887  0.2963E+01  0.4278E+02  0.7417E+02  0.1170E+03  0.1149E+01  0.2298E+00
190             9017  767887  0.2992E+01  0.4313E+02  0.7467E+02  0.1178E+03  0.1156E+01  0.2312E+00
190             9017  762887  0.3020E+01  0.4352E+02  0.7520E+02  0.1187E+03  0.1165E+01  0.2329E+00
190             9017  757887  0.3047E+01  0.4387E+02  0.7571E+02  0.1196E+03  0.1172E+01  0.2345E+00
190             9017  752887  0.3076E+01  0.4429E+02  0.7623E+02  0.1205E+03  0.1182E+01  0.2364E+00
190             9017  747887  0.3106E+01  0.4471E+02  0.7678E+02  0.1215E+03  0.1192E+01  0.2384E+00
190             8836  743046  0.3133E+01  0.4509E+02  0.7731E+02  0.1224E+03  0.1200E+01  0.2400E+00
190             7490  739197  0.3161E+01  0.4543E+02  0.7760E+02  0.1230E+03  0.1208E+01  0.2415E+00
191             8982  701934  0.3409E+01  0.4869E+02  0.8123E+02  0.1299E+03  0.1286E+01  0.2572E+00
191             9017  697887  0.3439E+01  0.4909E+02  0.8164E+02  0.1307E+03  0.1295E+01  0.2590E+00
191             9017  692887  0.3474E+01  0.4954E+02  0.8214E+02  0.1317E+03  0.1305E+01  0.2609E+00
191             9017  687887  0.3515E+01  0.5005E+02  0.8267E+02  0.1327E+03  0.1316E+01  0.2631E+00
191             9017  682887  0.3530E+01  0.5045E+02  0.8316E+02  0.1336E+03  0.1327E+01  0.2653E+00
191             9017  677887  0.3569E+01  0.5089E+02  0.8374E+02  0.1346E+03  0.1337E+01  0.2675E+00
191             9017  672887  0.3632E+01  0.4592E+02  0.8441E+02  0.1303E+03  0.1350E+01  0.2701E+00
191             9017  667887  0.3668E+01  0.4628E+02  0.8492E+02  0.1312E+03  0.1359E+01  0.2717E+00
191             9017  662887  0.3705E+01  0.4666E+02  0.8539E+02  0.1320E+03  0.1367E+01  0.2734E+00
191             9017  657887  0.3744E+01  0.4701E+02  0.8589E+02  0.1329E+03  0.1375E+01  0.2750E+00
191             9083  654534  0.3768E+01  0.4723E+02  0.8622E+02  0.1334E+03  0.1380E+01  0.2760E+00
162            10368  401463  0.7452E+01  0.7505E+02  0.9837E+02  0.1734E+03  0.2091E+01  0.1159E+01
159             8258  397105  0.7621E+01  0.7674E+02  0.9842E+02  0.1752E+03  0.2093E+01  0.1093E+01
162             9920  398644  0.7575E+01  0.7662E+02  0.9846E+02  0.1751E+03  0.2088E+01  0.1087E+01
159             9017  392887  0.7870E+01  0.7731E+02  0.9876E+02  0.1761E+03  0.2118E+01  0.1171E+01
159             9439  388410  0.8173E+01  0.7825E+02  0.9915E+02  0.1774E+03  0.2146E+01  0.1239E+01
159            11165  383841  0.8596E+01  0.7823E+02  0.9977E+02  0.1780E+03  0.2203E+01  0.1430E+01
190            15953  820155  0.2721E+01  0.3985E+02  0.6927E+02  0.1091E+03  0.1068E+01  0.2136E+00
190            15028  814864  0.2749E+01  0.4021E+02  0.6983E+02  0.1100E+03  0.1076E+01  0.2153E+00
190            14334  810143  0.2773E+01  0.4054E+02  0.7024E+02  0.1108E+03  0.1084E+01  0.2168E+00
190            13690  805277  0.2784E+01  0.4044E+02  0.7097E+02  0.1114E+03  0.1098E+01  0.2195E+00
190            13347  800387  0.2809E+01  0.4077E+02  0.7141E+02  0.1122E+03  0.1105E+01  0.2211E+00
190            13347  795387  0.2834E+01  0.4111E+02  0.7191E+02  0.1130E+03  0.1113E+01  0.2227E+00
190            13347  790387  0.2857E+01  0.4143E+02  0.7238E+02  0.1138E+03  0.1120E+01  0.2240E+00
190            13347  785387  0.2885E+01  0.4179E+02  0.7286E+02  0.1147E+03  0.1128E+01  0.2256E+00
190            13347  780387  0.2912E+01  0.4213E+02  0.7339E+02  0.1155E+03  0.1136E+01  0.2271E+00
190            13347  775387  0.2939E+01  0.4250E+02  0.7389E+02  0.1164E+03  0.1144E+01  0.2288E+00
190            13347  770387  0.2968E+01  0.4286E+02  0.7443E+02  0.1173E+03  0.1151E+01  0.2302E+00
190            13347  765387  0.2995E+01  0.4320E+02  0.7492E+02  0.1181E+03  0.1159E+01  0.2317E+00
190            13347  760387  0.3021E+01  0.4357E+02  0.7542E+02  0.1190E+03  0.1167E+01  0.2334E+00
190            13347  755387  0.3050E+01  0.4397E+02  0.7594E+02  0.1199E+03  0.1176E+01  0.2353E+00
190            13347  750387  0.3080E+01  0.4437E+02  0.7647E+02  0.1208E+03  0.1186E+01  0.2372E+00
190            12671  746041  0.3106E+01  0.4474E+02  0.7693E+02  0.1217E+03  0.1194E+01  0.2388E+00
191            13175  702963  0.3388E+01  0.4847E+02  0.8121E+02  0.1297E+03  0.1283E+01  0.2566E+00
191            13347  700387  0.3408E+01  0.4873E+02  0.8152E+02  0.1302E+03  0.1289E+01  0.2577E+00
191            13347  695387  0.3443E+01  0.4921E+02  0.8186E+02  0.1311E+03  0.1299E+01  0.2598E+00
191            13347  690387  0.3478E+01  0.4967E+02  0.8236E+02  0.1320E+03  0.1309E+01  0.2618E+00
191            13347  685387  0.3519E+01  0.5018E+02  0.8289E+02  0.1331E+03  0.1319E+01  0.2639E+00
191            13347  680387  0.3536E+01  0.5051E+02  0.8336E+02  0.1339E+03  0.1331E+01  0.2661E+00
191            13347  675387  0.3572E+01  0.5098E+02  0.8397E+02  0.1349E+03  0.1341E+01  0.2682E+00
191            13347  670387  0.3635E+01  0.4600E+02  0.8464E+02  0.1306E+03  0.1353E+01  0.2706E+00
191            13347  665387  0.3671E+01  0.4637E+02  0.8513E+02  0.1315E+03  0.1361E+01  0.2723E+00
191            13347  660387  0.3708E+01  0.4672E+02  0.8563E+02  0.1324E+03  0.1369E+01  0.2739E+00
191            13357  655652  0.3743E+01  0.4707E+02  0.8606E+02  0.1331E+03  0.1378E+01  0.2755E+00
162            14230  404300  0.7378E+01  0.7485E+02  0.9850E+02  0.1734E+03  0.2086E+01  0.1151E+01
162            13347  400387  0.7555E+01  0.7544E+02  0.9867E+02  0.1741E+03  0.2106E+01  0.1197E+01
159            13114  394093  0.7887E+01  0.7640E+02  0.9913E+02  0.1755E+03  0.2143E+01  0.1287E+01
162            13505  396267  0.7764E+01  0.7606E+02  0.9899E+02  0.1750E+03  0.2129E+01  0.1255E+01
159            13347  390387  0.8102E+01  0.7693E+02  0.9937E+02  0.1763E+03  0.2160E+01  0.1336E+01
159            13347  385387  0.8467E+01  0.7806E+02  0.9981E+02  0.1779E+03  0.2194E+01  0.1404E+01
159            13650  381070  0.8891E+01  0.7938E+02  0.1004E+03  0.1797E+03  0.2227E+01  0.1474E+01
