name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.
                                     NH3         NHx         NHx         NHx         NH4
                   m       m  ug/m3        mol/ha/y    mol/ha/y    mol/ha/y        ug/m3
190            13347  785387  0.1699E-05  0.2336E-03  0.1608E-02  0.1842E-02  0.1271E-04
190            13347  780387  0.1791E-05  0.2429E-03  0.1644E-02  0.1887E-02  0.1309E-04
190            13347  775387  0.1886E-05  0.2525E-03  0.1681E-02  0.1934E-02  0.1348E-04
190            13347  770387  0.1993E-05  0.2627E-03  0.1720E-02  0.1983E-02  0.1389E-04
190            13347  765387  0.2109E-05  0.2743E-03  0.1760E-02  0.2034E-02  0.1432E-04
190            13347  760387  0.2233E-05  0.2869E-03  0.1800E-02  0.2087E-02  0.1477E-04
190            13347  755387  0.2360E-05  0.2999E-03  0.1838E-02  0.2138E-02  0.1522E-04
190            13347  750387  0.2497E-05  0.3142E-03  0.1879E-02  0.2193E-02  0.1571E-04
190            12671  746041  0.2617E-05  0.3264E-03  0.1909E-02  0.2236E-02  0.1613E-04
191            13175  702963  0.4295E-05  0.4987E-03  0.2318E-02  0.2816E-02  0.2196E-04
191            13347  700387  0.4434E-05  0.5128E-03  0.2346E-02  0.2858E-02  0.2239E-04
191            13347  695387  0.4717E-05  0.5414E-03  0.2402E-02  0.2944E-02  0.2328E-04
191            13347  690387  0.5008E-05  0.5712E-03  0.2455E-02  0.3026E-02  0.2418E-04
191            13347  685387  0.5308E-05  0.6019E-03  0.2511E-02  0.3113E-02  0.2512E-04
191            13347  680387  0.5672E-05  0.6398E-03  0.2580E-02  0.3220E-02  0.2626E-04
191            13347  675387  0.6025E-05  0.6773E-03  0.2632E-02  0.3309E-02  0.2725E-04
191            13347  670387  0.7680E-05 -0.9824E-02  0.2598E-02 -0.7226E-02  0.2699E-04
191            13347  665387  0.8077E-05 -0.9982E-02  0.2648E-02 -0.7334E-02  0.2787E-04
191            13347  660387  0.8502E-05 -0.1018E-01  0.2699E-02 -0.7480E-02  0.2878E-04
191            13357  655652  0.8941E-05 -0.1032E-01  0.2749E-02 -0.7570E-02  0.2966E-04
162            14230  404300  0.8676E-04 -0.3214E-03  0.6595E-02  0.6274E-02  0.7544E-04
162            13347  400387  0.8690E-04  0.4285E-03  0.6460E-02  0.6888E-02  0.7208E-04
159            13114  394093  0.9451E-04  0.1761E-02  0.6238E-02  0.7999E-02  0.6381E-04
162            13505  396267  0.9484E-04  0.1297E-02  0.6265E-02  0.7562E-02  0.6571E-04
159            13347  390387  0.9600E-04  0.2456E-02  0.6290E-02  0.8746E-02  0.6209E-04
159            13347  385387  0.9670E-04  0.3250E-02  0.6402E-02  0.9652E-02  0.6079E-04
159            13650  381070  0.1005E-03  0.4092E-02  0.6541E-02  0.1063E-01  0.6024E-04
169            15206  379836  0.1151E-03  0.4900E-02  0.6901E-02  0.1180E-01  0.6101E-04
188            14704  378110  0.1222E-03  0.5894E-02  0.6817E-02  0.1271E-01  0.5994E-04
169            14115  377876  0.1040E-03  0.9999E-02  0.6740E-02  0.1674E-01  0.6178E-04
187            14841  375339  0.1511E-03  0.2156E-01  0.6911E-02  0.2847E-01  0.5971E-04
188            14673  377099  0.1210E-03  0.1109E-01  0.6870E-02  0.1796E-01  0.6135E-04
190            19588  832293  0.1057E-05  0.1736E-03  0.1309E-02  0.1482E-02  0.9820E-05
190            18902  827592  0.1102E-05  0.1787E-03  0.1333E-02  0.1512E-02  0.1006E-04
190            18231  822719  0.1152E-05  0.1843E-03  0.1358E-02  0.1542E-02  0.1032E-04
190            17726  817881  0.1209E-05  0.1904E-03  0.1385E-02  0.1576E-02  0.1060E-04
190            17677  812887  0.1273E-05  0.1972E-03  0.1417E-02  0.1614E-02  0.1090E-04
190            17677  807887  0.1344E-05  0.2045E-03  0.1449E-02  0.1653E-02  0.1121E-04
190            17677  802887  0.1416E-05  0.2118E-03  0.1480E-02  0.1692E-02  0.1151E-04
190            17677  797887  0.1532E-05  0.2171E-03  0.1551E-02  0.1768E-02  0.1194E-04
190            17677  792887  0.1610E-05  0.2245E-03  0.1586E-02  0.1811E-02  0.1228E-04
190            17677  787887  0.1703E-05  0.2333E-03  0.1623E-02  0.1856E-02  0.1264E-04
190            17677  782887  0.1798E-05  0.2429E-03  0.1661E-02  0.1904E-02  0.1303E-04
190            17677  777887  0.1893E-05  0.2525E-03  0.1697E-02  0.1949E-02  0.1341E-04
190            17677  772887  0.1996E-05  0.2629E-03  0.1737E-02  0.2000E-02  0.1382E-04
190            17677  767887  0.2114E-05  0.2740E-03  0.1777E-02  0.2051E-02  0.1423E-04
190            17677  762887  0.2236E-05  0.2863E-03  0.1820E-02  0.2107E-02  0.1470E-04
190            17677  757887  0.2365E-05  0.2995E-03  0.1861E-02  0.2160E-02  0.1515E-04
190            17621  752950  0.2502E-05  0.3137E-03  0.1902E-02  0.2216E-02  0.1563E-04
190            16337  749049  0.2597E-05  0.3233E-03  0.1922E-02  0.2246E-02  0.1596E-04
191            17612  701776  0.4509E-05  0.5184E-03  0.2393E-02  0.2912E-02  0.2241E-04
191            17625  697887  0.4728E-05  0.5406E-03  0.2437E-02  0.2977E-02  0.2308E-04
191            17586  692888  0.5036E-05  0.5715E-03  0.2494E-02  0.3066E-02  0.2398E-04
191            17538  687890  0.5345E-05  0.6035E-03  0.2546E-02  0.3149E-02  0.2492E-04
191            17481  682893  0.5688E-05  0.6384E-03  0.2616E-02  0.3254E-02  0.2599E-04
191            17424  677894  0.6055E-05  0.6768E-03  0.2672E-02  0.3349E-02  0.2704E-04
191            17369  672897  0.7743E-05 -0.9616E-02  0.2633E-02 -0.6982E-02  0.2679E-04
191            17309  667900  0.8121E-05 -0.9731E-02  0.2683E-02 -0.7048E-02  0.2770E-04
191            17245  662902  0.8550E-05 -0.9913E-02  0.2732E-02 -0.7181E-02  0.2858E-04
191            17180  657902  0.9010E-05 -0.1005E-01  0.2785E-02 -0.7261E-02  0.2950E-04
191            17257  654361  0.9369E-05 -0.1004E-01  0.2824E-02 -0.7215E-02  0.3018E-04
162            19208  410811  0.9423E-04 -0.9637E-03  0.7276E-02  0.6312E-02  0.8308E-04
162            18195  407429  0.9454E-04 -0.4045E-03  0.7130E-02  0.6725E-02  0.8001E-04
162            17677  402887  0.9769E-04  0.5040E-03  0.7037E-02  0.7541E-02  0.7603E-04
162            17675  397888  0.1091E-03  0.1710E-02  0.6858E-02  0.8568E-02  0.6713E-04
159            17107  392827  0.1119E-03  0.2784E-02  0.6864E-02  0.9648E-02  0.6356E-04
162            17677  395108  0.1130E-03  0.2188E-02  0.6890E-02  0.9078E-02  0.6445E-04
169            19331  392307  0.1301E-03  0.3389E-02  0.7307E-02  0.1070E-01  0.6364E-04
159            16397  388266  0.1095E-03  0.3128E-02  0.6827E-02  0.9955E-02  0.6210E-04
169            18544  387630  0.1214E-03  0.3713E-02  0.7304E-02  0.1102E-01  0.6323E-04
159            15584  383578  0.1080E-03  0.3869E-02  0.6883E-02  0.1075E-01  0.6179E-04
169            17869  382823  0.1219E-03  0.4363E-02  0.7415E-02  0.1178E-01  0.6312E-04
169            17475  379724  0.1336E-03  0.1096E-01  0.7506E-02  0.1847E-01  0.6417E-04
188            15028  377977  0.1394E-03  0.1979E-01  0.6968E-02  0.2676E-01  0.6243E-04
190            22365  834942  0.1048E-05  0.1720E-03  0.1309E-02  0.1481E-02  0.9729E-05
190            22007  830387  0.1094E-05  0.1771E-03  0.1333E-02  0.1510E-02  0.9957E-05
190            22007  825387  0.1149E-05  0.1833E-03  0.1364E-02  0.1547E-02  0.1024E-04
190            22007  820387  0.1210E-05  0.1899E-03  0.1395E-02  0.1585E-02  0.1053E-04
190            22007  815387  0.1271E-05  0.1965E-03  0.1427E-02  0.1624E-02  0.1083E-04
190            22007  810387  0.1345E-05  0.2039E-03  0.1460E-02  0.1664E-02  0.1114E-04
190            22007  805387  0.1417E-05  0.2114E-03  0.1493E-02  0.1705E-02  0.1145E-04
190            22007  800387  0.1489E-05  0.2190E-03  0.1526E-02  0.1745E-02  0.1178E-04
190            22007  795387  0.1570E-05  0.2272E-03  0.1563E-02  0.1790E-02  0.1214E-04
190            22007  790387  0.1703E-05  0.2334E-03  0.1639E-02  0.1872E-02  0.1260E-04
190            22007  785387  0.1798E-05  0.2424E-03  0.1677E-02  0.1919E-02  0.1297E-04
190            22007  780387  0.1896E-05  0.2522E-03  0.1714E-02  0.1966E-02  0.1335E-04
190            22007  775387  0.1997E-05  0.2625E-03  0.1754E-02  0.2016E-02  0.1375E-04
190            22007  770387  0.2114E-05  0.2739E-03  0.1796E-02  0.2070E-02  0.1418E-04
190            22007  765387  0.2234E-05  0.2859E-03  0.1839E-02  0.2125E-02  0.1463E-04
190            22007  760387  0.2367E-05  0.2990E-03  0.1883E-02  0.2182E-02  0.1509E-04
190            21473  755873  0.2480E-05  0.3109E-03  0.1916E-02  0.2226E-02  0.1550E-04
190            20530  752740  0.2561E-05  0.3192E-03  0.1934E-02  0.2253E-02  0.1577E-04
191            19809  700455  0.4660E-05  0.5325E-03  0.2438E-02  0.2971E-02  0.2274E-04
191            19696  695445  0.4963E-05  0.5630E-03  0.2497E-02  0.3060E-02  0.2365E-04
191            19583  690434  0.5275E-05  0.5945E-03  0.2551E-02  0.3146E-02  0.2455E-04
191            19470  685422  0.5597E-05  0.6281E-03  0.2608E-02  0.3236E-02  0.2554E-04
191            19357  680408  0.5963E-05  0.6657E-03  0.2678E-02  0.3344E-02  0.2665E-04
191            19271  675398  0.6328E-05  0.7042E-03  0.2730E-02  0.3434E-02  0.2765E-04
191            19186  670392  0.8044E-05 -0.1005E-01  0.2689E-02 -0.7361E-02  0.2740E-04
162            23263  414250  0.1013E-03 -0.1409E-02  0.7901E-02  0.6492E-02  0.8811E-04
162            22028  410359  0.1019E-03 -0.5611E-03  0.7740E-02  0.7179E-02  0.8471E-04
162            22007  405387  0.1089E-03  0.7154E-03  0.7777E-02  0.8492E-02  0.8039E-04
105            24197  399263  0.1737E-03  0.2742E-01  0.8681E-02  0.3610E-01  0.7584E-04
162            21932  400503  0.1277E-03  0.2005E-02  0.7624E-02  0.9629E-02  0.7041E-04
159            19436  394843  0.1466E-03  0.1084E-01  0.7429E-02  0.1827E-01  0.6829E-04
162            20554  397117  0.1492E-03  0.3430E-02  0.7469E-02  0.1090E-01  0.6686E-04
169            20291  393622  0.1454E-03  0.9858E-02  0.7608E-02  0.1747E-01  0.6764E-04
