name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190             6587  784792  0.7109E-05  0.7760E-04  0.1129E-03  0.1905E-03  0.2204E-05  0.4407E-06
190             5898  780094  0.7230E-05  0.7884E-04  0.1134E-03  0.1922E-03  0.2235E-05  0.4470E-06
190             5229  775224  0.7335E-05  0.7994E-04  0.1132E-03  0.1931E-03  0.2263E-05  0.4525E-06
190             4736  770381  0.7468E-05  0.8131E-04  0.1136E-03  0.1949E-03  0.2297E-05  0.4593E-06
190             4686  765387  0.7619E-05  0.8288E-04  0.1141E-03  0.1970E-03  0.2336E-05  0.4671E-06
190             4686  760387  0.7793E-05  0.8468E-04  0.1148E-03  0.1995E-03  0.2379E-05  0.4757E-06
190             4686  755387  0.7950E-05  0.8633E-04  0.1150E-03  0.2014E-03  0.2417E-05  0.4835E-06
190             4686  750387  0.8121E-05  0.8811E-04  0.1155E-03  0.2036E-03  0.2460E-05  0.4920E-06
190             4686  745387  0.8313E-05  0.9006E-04  0.1161E-03  0.2062E-03  0.2506E-05  0.5012E-06
190             4686  740387  0.8523E-05  0.9237E-04  0.1168E-03  0.2092E-03  0.2561E-05  0.5123E-06
190             3854  736202  0.8668E-05  0.9399E-04  0.1171E-03  0.2111E-03  0.2600E-05  0.5201E-06
191             4610  703102  0.1048E-04  0.1138E-03  0.1249E-03  0.2387E-03  0.3077E-05  0.6155E-06
191             4686  700387  0.1066E-04  0.1158E-03  0.1255E-03  0.2412E-03  0.3125E-05  0.6249E-06
191             4686  695387  0.1100E-04  0.1196E-03  0.1266E-03  0.2461E-03  0.3213E-05  0.6427E-06
191             4686  690387  0.1136E-04  0.1237E-03  0.1278E-03  0.2515E-03  0.3310E-05  0.6620E-06
191             4686  685387  0.1174E-04  0.1281E-03  0.1287E-03  0.2568E-03  0.3412E-05  0.6824E-06
191             4686  680387  0.1215E-04  0.1329E-03  0.1299E-03  0.2628E-03  0.3522E-05  0.7043E-06
191             4686  675387  0.1258E-04  0.1379E-03  0.1310E-03  0.2688E-03  0.3638E-05  0.7277E-06
191             4686  670387  0.1310E-04  0.1278E-03  0.1324E-03  0.2601E-03  0.3762E-05  0.7524E-06
191             4686  665387  0.1358E-04  0.1324E-03  0.1336E-03  0.2660E-03  0.3890E-05  0.7780E-06
