name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190            13690  805277  0.3431E-02  0.3532E-01  0.5493E-01  0.9025E-01  0.9504E-03  0.1901E-03
190            13347  800387  0.3512E-02  0.3605E-01  0.5553E-01  0.9158E-01  0.9654E-03  0.1931E-03
190            13347  795387  0.3592E-02  0.3678E-01  0.5620E-01  0.9298E-01  0.9830E-03  0.1966E-03
190            13347  790387  0.3654E-02  0.3732E-01  0.5663E-01  0.9395E-01  0.9975E-03  0.1995E-03
190            13347  785387  0.3736E-02  0.3803E-01  0.5732E-01  0.9535E-01  0.1015E-02  0.2030E-03
190            13347  780387  0.3835E-02  0.3892E-01  0.5837E-01  0.9729E-01  0.1037E-02  0.2074E-03
190            13347  775387  0.3902E-02  0.3956E-01  0.5860E-01  0.9816E-01  0.1051E-02  0.2101E-03
190            13347  770387  0.4004E-02  0.4052E-01  0.5951E-01  0.1000E+00  0.1078E-02  0.2155E-03
190            13347  765387  0.4086E-02  0.4110E-01  0.6017E-01  0.1013E+00  0.1097E-02  0.2195E-03
190            13347  760387  0.4169E-02  0.4174E-01  0.6087E-01  0.1026E+00  0.1118E-02  0.2236E-03
190            13347  755387  0.4285E-02  0.4264E-01  0.6193E-01  0.1046E+00  0.1142E-02  0.2285E-03
190            13347  750387  0.4370E-02  0.4336E-01  0.6255E-01  0.1059E+00  0.1163E-02  0.2327E-03
190            12671  746041  0.4415E-02  0.4381E-01  0.6292E-01  0.1067E+00  0.1180E-02  0.2360E-03
191            13175  702963  0.5618E-02  0.5606E-01  0.7014E-01  0.1262E+00  0.1469E-02  0.2939E-03
191            13347  700387  0.5679E-02  0.5666E-01  0.7017E-01  0.1268E+00  0.1482E-02  0.2963E-03
191            13347  695387  0.5860E-02  0.5831E-01  0.7133E-01  0.1296E+00  0.1521E-02  0.3041E-03
191            13347  690387  0.6014E-02  0.5985E-01  0.7248E-01  0.1323E+00  0.1560E-02  0.3119E-03
191            13347  685387  0.6181E-02  0.6142E-01  0.7331E-01  0.1347E+00  0.1594E-02  0.3189E-03
191            13347  680387  0.6348E-02  0.6309E-01  0.7404E-01  0.1371E+00  0.1631E-02  0.3262E-03
191            13347  675387  0.6529E-02  0.6502E-01  0.7509E-01  0.1401E+00  0.1673E-02  0.3345E-03
191            13347  670387  0.6740E-02  0.6201E-01  0.7655E-01  0.1386E+00  0.1725E-02  0.3451E-03
191            13347  665387  0.6905E-02  0.6375E-01  0.7689E-01  0.1406E+00  0.1785E-02  0.3570E-03
191            13347  660387  0.7148E-02  0.6631E-01  0.7836E-01  0.1447E+00  0.1853E-02  0.3706E-03
191            13357  655652  0.7376E-02  0.6867E-01  0.7976E-01  0.1484E+00  0.1915E-02  0.3830E-03
162            14230  404300  0.3779E-01  0.3030E+00  0.1011E+00  0.4040E+00  0.6579E-02  0.3631E-02
162            13347  400387  0.3751E-01  0.3033E+00  0.9733E-01  0.4007E+00  0.6782E-02  0.3856E-02
159            13114  394093  0.3717E-01  0.2998E+00  0.9905E-01  0.3989E+00  0.6909E-02  0.4150E-02
162            13505  396267  0.3752E-01  0.3024E+00  0.9914E-01  0.4015E+00  0.6883E-02  0.4057E-02
159            13347  390387  0.3737E-01  0.2988E+00  0.9904E-01  0.3978E+00  0.6988E-02  0.4320E-02
159            13347  385387  0.3794E-01  0.3032E+00  0.1197E+00  0.4229E+00  0.7736E-02  0.4950E-02
159            13650  381070  0.3777E-01  0.3015E+00  0.1208E+00  0.4223E+00  0.7853E-02  0.5199E-02
169            15206  379836  0.3831E-01  0.3036E+00  0.1222E+00  0.4258E+00  0.7916E-02  0.5337E-02
188            14704  378110  0.3762E-01  0.3132E+00  0.1132E+00  0.4264E+00  0.8173E-02  0.5618E-02
169            14115  377876  0.3777E-01  0.4559E+00  0.1121E+00  0.5680E+00  0.8090E-02  0.5615E-02
187            14841  375339  0.3814E-01  0.5849E+00  0.1135E+00  0.6984E+00  0.8222E-02  0.5786E-02
188            14673  377099  0.3791E-01  0.4577E+00  0.1129E+00  0.5705E+00  0.8133E-02  0.5645E-02
190            19588  832293  0.3089E-02  0.3251E-01  0.5214E-01  0.8465E-01  0.8787E-03  0.1757E-03
190            18902  827592  0.3142E-02  0.3302E-01  0.5248E-01  0.8550E-01  0.8900E-03  0.1780E-03
190            18231  822719  0.3219E-02  0.3376E-01  0.5326E-01  0.8702E-01  0.9067E-03  0.1813E-03
190            17726  817881  0.3290E-02  0.3446E-01  0.5397E-01  0.8843E-01  0.9229E-03  0.1846E-03
190            17677  812887  0.3347E-02  0.3505E-01  0.5433E-01  0.8938E-01  0.9366E-03  0.1873E-03
190            17677  807887  0.3424E-02  0.3576E-01  0.5489E-01  0.9065E-01  0.9517E-03  0.1903E-03
190            17677  802887  0.3516E-02  0.3664E-01  0.5582E-01  0.9246E-01  0.9713E-03  0.1943E-03
190            17677  797887  0.3628E-02  0.3717E-01  0.5714E-01  0.9431E-01  0.9921E-03  0.1984E-03
190            17677  792887  0.3687E-02  0.3770E-01  0.5755E-01  0.9525E-01  0.1007E-02  0.2014E-03
190            17677  787887  0.3785E-02  0.3854E-01  0.5848E-01  0.9702E-01  0.1027E-02  0.2054E-03
190            17677  782887  0.3871E-02  0.3928E-01  0.5922E-01  0.9850E-01  0.1045E-02  0.2090E-03
190            17677  777887  0.3930E-02  0.3983E-01  0.5943E-01  0.9926E-01  0.1058E-02  0.2115E-03
190            17677  772887  0.4036E-02  0.4065E-01  0.6039E-01  0.1010E+00  0.1079E-02  0.2159E-03
190            17677  767887  0.4135E-02  0.4139E-01  0.6135E-01  0.1027E+00  0.1103E-02  0.2205E-03
190            17677  762887  0.4205E-02  0.4189E-01  0.6183E-01  0.1037E+00  0.1121E-02  0.2241E-03
190            17677  757887  0.4322E-02  0.4304E-01  0.6280E-01  0.1058E+00  0.1151E-02  0.2302E-03
190            17621  752950  0.4423E-02  0.4389E-01  0.6368E-01  0.1076E+00  0.1175E-02  0.2350E-03
190            16337  749049  0.4464E-02  0.4419E-01  0.6370E-01  0.1079E+00  0.1184E-02  0.2368E-03
191            17612  701776  0.5806E-02  0.5791E-01  0.7188E-01  0.1298E+00  0.1509E-02  0.3019E-03
191            17625  697887  0.5973E-02  0.5940E-01  0.7308E-01  0.1325E+00  0.1544E-02  0.3088E-03
191            17586  692888  0.6106E-02  0.6075E-01  0.7395E-01  0.1347E+00  0.1579E-02  0.3158E-03
191            17538  687890  0.6281E-02  0.6239E-01  0.7488E-01  0.1373E+00  0.1616E-02  0.3232E-03
191            17481  682893  0.6445E-02  0.6392E-01  0.7560E-01  0.1395E+00  0.1648E-02  0.3296E-03
191            17424  677894  0.6651E-02  0.6603E-01  0.7711E-01  0.1431E+00  0.1693E-02  0.3386E-03
191            17369  672897  0.6827E-02  0.6263E-01  0.7806E-01  0.1407E+00  0.1740E-02  0.3479E-03
191            17309  667900  0.6973E-02  0.6416E-01  0.7859E-01  0.1427E+00  0.1774E-02  0.3548E-03
191            17245  662902  0.7214E-02  0.6662E-01  0.8031E-01  0.1469E+00  0.1835E-02  0.3670E-03
191            17180  657902  0.7412E-02  0.6882E-01  0.8141E-01  0.1502E+00  0.1892E-02  0.3784E-03
191            17257  654361  0.7561E-02  0.7052E-01  0.8145E-01  0.1520E+00  0.1960E-02  0.3920E-03
162            19208  410811  0.3990E-01  0.3145E+00  0.1063E+00  0.4208E+00  0.6598E-02  0.3571E-02
162            18195  407429  0.3968E-01  0.3129E+00  0.1049E+00  0.4179E+00  0.6630E-02  0.3661E-02
162            17677  402887  0.3955E-01  0.3115E+00  0.1045E+00  0.4161E+00  0.6702E-02  0.3828E-02
162            17675  397888  0.3949E-01  0.3100E+00  0.1063E+00  0.4163E+00  0.6823E-02  0.4074E-02
159            17107  392827  0.3930E-01  0.3084E+00  0.1026E+00  0.4109E+00  0.7053E-02  0.4381E-02
162            17677  395108  0.3933E-01  0.3106E+00  0.1035E+00  0.4141E+00  0.6989E-02  0.4245E-02
169            19331  392307  0.4100E-01  0.3190E+00  0.1214E+00  0.4405E+00  0.7681E-02  0.4835E-02
159            16397  388266  0.3943E-01  0.3114E+00  0.1216E+00  0.4330E+00  0.7749E-02  0.4888E-02
169            18544  387630  0.4051E-01  0.3162E+00  0.1253E+00  0.4415E+00  0.7833E-02  0.5012E-02
159            15584  383578  0.3880E-01  0.3073E+00  0.1224E+00  0.4297E+00  0.7834E-02  0.5095E-02
169            17869  382823  0.3987E-01  0.3131E+00  0.1256E+00  0.4387E+00  0.7937E-02  0.5197E-02
169            17475  379724  0.4009E-01  0.4377E+00  0.1255E+00  0.5632E+00  0.7933E-02  0.5290E-02
188            15028  377977  0.3859E-01  0.5562E+00  0.1125E+00  0.6687E+00  0.8126E-02  0.5680E-02
190            22365  834942  0.3064E-02  0.3138E-01  0.5223E-01  0.8361E-01  0.8519E-03  0.1704E-03
190            22007  830387  0.3132E-02  0.3200E-01  0.5289E-01  0.8489E-01  0.8658E-03  0.1732E-03
190            22007  825387  0.3205E-02  0.3275E-01  0.5357E-01  0.8632E-01  0.8829E-03  0.1766E-03
