name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
190             5229  775224  0.1764E-01  0.1870E+00  0.2698E+00  0.4568E+00  0.5044E-02  0.1009E-02
190             4736  770381  0.1780E-01  0.1882E+00  0.2698E+00  0.4580E+00  0.5098E-02  0.1020E-02
190             4686  765387  0.1818E-01  0.1914E+00  0.2737E+00  0.4651E+00  0.5201E-02  0.1040E-02
190             4686  760387  0.1852E-01  0.1945E+00  0.2765E+00  0.4710E+00  0.5296E-02  0.1059E-02
190             4686  755387  0.1873E-01  0.1967E+00  0.2769E+00  0.4736E+00  0.5365E-02  0.1073E-02
190             4686  750387  0.1915E-01  0.2012E+00  0.2808E+00  0.4820E+00  0.5500E-02  0.1100E-02
190             4686  745387  0.1956E-01  0.2056E+00  0.2835E+00  0.4891E+00  0.5603E-02  0.1121E-02
190             4686  740387  0.1983E-01  0.2067E+00  0.2809E+00  0.4876E+00  0.5574E-02  0.1115E-02
190             3854  736202  0.2021E-01  0.2114E+00  0.2831E+00  0.4946E+00  0.5680E-02  0.1136E-02
191             4610  703102  0.2381E-01  0.2553E+00  0.3039E+00  0.5592E+00  0.6715E-02  0.1343E-02
191             4686  700387  0.2402E-01  0.2583E+00  0.3040E+00  0.5623E+00  0.6777E-02  0.1355E-02
191             4686  695387  0.2479E-01  0.2671E+00  0.3062E+00  0.5733E+00  0.6965E-02  0.1393E-02
191             4686  690387  0.2527E-01  0.2737E+00  0.3063E+00  0.5799E+00  0.7107E-02  0.1421E-02
191             4686  685387  0.2592E-01  0.2825E+00  0.3107E+00  0.5932E+00  0.7301E-02  0.1460E-02
191             4686  680387  0.2655E-01  0.2906E+00  0.3126E+00  0.6032E+00  0.7456E-02  0.1491E-02
191             4686  675387  0.2696E-01  0.2924E+00  0.3097E+00  0.6021E+00  0.7367E-02  0.1473E-02
191             4686  670387  0.2779E-01  0.2699E+00  0.3128E+00  0.5827E+00  0.7527E-02  0.1505E-02
191             4686  665387  0.2848E-01  0.2771E+00  0.3160E+00  0.5930E+00  0.7706E-02  0.1541E-02
191             4686  660387  0.2958E-01  0.2931E+00  0.3241E+00  0.6171E+00  0.8198E-02  0.1640E-02
191             4703  655817  0.3027E-01  0.3009E+00  0.3274E+00  0.6282E+00  0.8375E-02  0.1675E-02
159             6076  398315  0.1204E+00  0.1092E+01  0.5525E+00  0.1645E+01  0.3093E-01  0.1579E-01
159             4829  395187  0.1173E+00  0.1071E+01  0.5477E+00  0.1619E+01  0.3064E-01  0.1591E-01
159             5252  391155  0.1158E+00  0.1055E+01  0.5471E+00  0.1602E+01  0.3065E-01  0.1675E-01
190            11196  802308  0.1620E-01  0.1775E+00  0.2647E+00  0.4422E+00  0.4881E-02  0.9762E-03
190            10446  797499  0.1654E-01  0.1787E+00  0.2662E+00  0.4449E+00  0.4849E-02  0.9698E-03
