x	y	tot_dep-mol~ha~y
120402	511535	168.18
120532	564228	161.06
120533	497664	180.16
120625	503139	171.74
120739	634166	136.57
121073	421827	232.26
121117	583670	141.49
121129	545098	144.45
121315	496480	180.12
121598	547890	144.22
121600	552887	144.03
121600	557887	143.28
121600	587887	141.09
121600	637887	135.91
121600	642887	135.06
121600	647887	134.29
121600	652887	133.26
121600	657887	132.41
121600	662887	131.52
121600	667887	130.63
121600	672887	129.7
121646	494847	185.94
121727	568153	165.01
121757	578007	141.58
121907	497604	181.41
121984	562680	142.14
122297	581756	140.92
122352	592041	140.76
122484	676609	133.74
122488	439780	194.08
122850	573285	148.62
123043	440390	192.57
123072	567833	141.55
123384	494472	188.11
123385	473738	182.89
123876	474537	193.12
124610	547037	144.09
124780	586281	141.41
124941	636817	136.23
124944	495137	173.05
125399	417701	235.2
125541	418173	230.11
125785	550605	144.31
125930	555387	144.11
125930	560387	143.42
125930	565387	142.7
125930	570387	142.11
125930	575387	141.96
125930	580387	141.71
125930	590387	141.02
125930	640387	135.7
125930	645387	134.86
125930	650387	133.95
125930	655387	133.01
125930	660387	132.05
125930	665387	131.17
125930	670387	130.25
125930	675387	134.12
126247	441689	196.45
126341	594874	140.54
126347	586074	182.11
126630	584440	154.81
126679	679283	133.45
127223	410700	237.72
127543	487185	173.33
127600	440368	205.76
127747	505477	172.63
128119	429678	224.15
128161	440488	214.02
128186	443022	194.22
128281	438333	208.53
128531	441406	229.66
128621	425725	214.54
129127	639477	136.01
129161	589560	158.98
129413	425512	203.57
129579	389600	323.25
129761	411032	230.7
129902	550103	143.61
130088	588699	216.89
130114	429884	217.33
130170	410271	233.2
130182	506965	176
130210	391340	266.77
130255	642896	135.46
130256	552898	144.52
130258	592891	140.79
130260	557887	144.14
130260	562887	143.66
130260	567887	143.11
130260	572887	142.71
130260	577887	142.21
130260	582887	141.73
130260	647887	134.59
130260	652887	133.65
130260	657887	132.72
130260	662887	131.81
130260	667887	130.89
130260	672887	129.94
130260	677887	133.83
130415	419476	263.13
130480	597576	140.33
130616	424659	213.15
130678	586877	141.41
130887	681959	133.05
130994	488005	155.01
131095	504567	172.24
131238	471126	191.57
131280	516081	169.79
131356	513040	148.66
131467	484115	154.64
131557	463966	196.23
131623	590453	166.48
131669	600452	140.25
131738	490952	157.29
131763	471601	191.42
131814	467030	179.62
131816	469121	171.56
131915	508693	164.86
132023	494768	165.78
132116	476158	176.97
132168	431438	223.89
132283	496611	167.03
132332	497578	166.99
132430	407169	279.91
132485	504785	174.1
132637	548330	175.08
132660	425165	201.79
133228	590257	252.94
133300	551784	148.59
133335	591997	154.23
133374	642198	135.74
133604	495685	152.52
133661	590285	253.06
133777	465204	195.21
133803	431091	246.57
134192	475358	205.46
134353	470566	207.48
134531	595465	140.8
134549	485782	154.9
134555	645444	135.21
134564	555425	144.94
134567	514838	149.34
134590	510387	150.32
134590	560387	144.34
134590	565387	143.9
134590	570387	143.4
134590	575387	142.87
134590	580387	142.32
134590	585387	141.76
134590	650387	134.32
134590	655387	133.41
134590	660387	132.41
134590	665387	131.6
134590	670387	130.63
134590	675387	134.49
134590	680387	133.5
134630	462370	207.08
134633	490327	154.4
134715	406259	344.12
134753	600111	140.35
134828	462497	207.06
134862	505538	151.01
134909	550051	145.72
135051	483704	158.88
135089	408741	326.91
135101	684635	132.65
135137	500122	152.41
135181	386275	311.31
135189	590075	184.49
135267	545729	146.07
135315	387917	325.1
135390	495274	158.71
135411	465503	189.73
135603	472499	208.86
135690	479166	201.18
135962	477120	199.56
135969	482738	185.38
135987	602952	140.03
136033	553190	148.58
136040	474958	202.34
136045	593466	140.95
136239	462839	204.54
136346	434545	224.15
136401	541198	150.47
136597	535149	156.36
136660	432666	250.19
136774	482758	199.5
136819	467963	199.03
136960	530896	191.97
137188	464254	186.68
137194	466456	188.27
137266	477906	219.3
137433	483556	168.34
137472	595133	140.91
137478	554937	149.08
137628	644926	135.5
137630	488697	173.25
137777	436847	216.34
138092	378968	282.92
138183	476898	240.25
138489	598247	140.71
138519	395379	306.67
138658	558166	144.99
138701	403836	258.95
138704	407161	277.47
138829	648025	134.98
138914	492898	154.65
138920	502887	152.94
138920	507887	152.02
138920	542887	146.87
138920	547887	146.46
138920	562887	144.54
138920	567887	143.98
